KH.100170058	KY.Chr1.1142
KH.C12.680	KY.Chr12.236
KH.C12.681	KY.Chr12.459
KH.C12.682	KY.Chr12.561
KH.C12.683	KY.Chr12.969
KH.C12.684	KY.Chr12.679
KH.C12.685	KY.Chr12.246
KH.C12.686	KY.Chr12.275
KH.C12.687	KY.Chr12.275
KH.C12.688	KY.Chr12.468
KH.C12.689	KY.Chr12.605
KH.C12.68	KY.Chr12.617
KH.C1.268	KY.Chr13.245
KH.C12.690	KY.Chr12.675
KH.C12.691	KY.Chr12.750
KH.C12.692	KY.Chr12.872
KH.C12.694	KY.Chr12.986
KH.C12.695	KY.Chr12.665
KH.C12.696	KY.Chr12.792
KH.C12.697	KY.Chr12.792
KH.C1.269	KY.Chr1.132
KH.C12.69	KY.Chr12.271
KH.C1.26	KY.Chr1.2051
KH.C12.6	KY.Chr12.84
KH.C12.70	KY.Chr12.203
KH.C1.270	KY.Chr1.2441
KH.C1.271	KY.Chr1.1604
KH.C12.71	KY.Chr12.97
KH.C12.72	KY.Chr12.992
KH.C1.272	KY.Chr1.633
KH.C1.273	KY.Chr1.2315
KH.C12.73	KY.Chr12.523
KH.C1.274	KY.Chr1.1536
KH.C12.74	KY.Chr12.563
KH.C12.75	KY.Chr12.224
KH.C1.275	KY.Chr1.2426
KH.C1.276	KY.Chr1.1045
KH.C12.76	KY.Chr12.616
KH.C12.77	KY.Chr12.475
KH.C1.277	KY.Chr1.847
KH.C1.278	KY.Chr1.1054
KH.C12.78	KY.Chr12.833
KH.C1.279	KY.Chr1.1656
KH.C12.79	KY.Chr12.1038
KH.C1.27	KY.Chr1.2351
KH.C12.7	KY.Chr12.736
KH.C12.80	KY.Chr12.645
KH.C1.280	KY.Chr3.1616
KH.C1.281	KY.Chr1.1497
KH.C12.81	KY.Chr12.98
KH.C12.82	KY.Chr12.124
KH.C1.282	KY.Chr1.973
KH.C1.283	KY.Chr1.2188
KH.C12.83	KY.Chr12.999
KH.C12.84	KY.Chr12.722
KH.C1.284	KY.Chr1.949
KH.C12.85	KY.Chr12.440
KH.C1.285	KY.Chr1.596
KH.C1.286	KY.Chr1.185
KH.C12.86	KY.Chr12.642
KH.C12.87	KY.Chr12.629
KH.C1.287	KY.Chr1.63
KH.C1.288	KY.Chr1.1414
KH.C12.88	KY.Chr12.55
KH.C1.289	KY.Chr1.1349
KH.C12.89	KY.Chr12.710
KH.C1.28	KY.Chr1.1912
KH.C12.8	KY.Chr12.716
KH.C1.290	KY.Chr1.1961
KH.C12.90	KY.Chr12.689
KH.C12.91	KY.Chr12.102
KH.C1.291	KY.Chr1.2116
KH.C1.292	KY.Chr1.2423
KH.C12.92	KY.Chr12.80
KH.C1.293	KY.Chr1.1701
KH.C12.93	KY.Chr12.869
KH.C1.294	KY.Chr1.2073
KH.C12.94	KY.Chr12.135
KH.C1.295	KY.Chr1.1548
KH.C12.95	KY.Chr12.482
KH.C12.96	KY.Chr12.733
KH.C1.296	KY.Chr1.863
KH.C1.297	KY.Chr1.2084
KH.C12.97	KY.Chr12.748
KH.C1.298	KY.Chr1.2125
KH.C12.98	KY.Chr12.875
KH.C1.299	KY.Chr1.2342
KH.C12.99	KY.Chr12.764
KH.C12.9	KY.Chr12.204
KH.C1.29	KY.Chr1.2371
KH.C1.2	KY.Chr1.1972
KH.C1.300	KY.Chr1.958
KH.C1.301	KY.Chr1.72
KH.C1.302	KY.Chr1.1510
KH.C1.303	KY.Chr1.2302
KH.C1.304	KY.Chr1.1013
KH.C1.305	KY.Chr3.1630
KH.C1.306	KY.Chr1.929
KH.C1.307	KY.Chr1.1122
KH.C1.308	KY.Chr1.631
KH.C1.309	KY.Chr1.544
KH.C1.30	KY.Chr1.2120
KH.C13.100	KY.Chr13.399
KH.C13.101	KY.Chr13.332
KH.C13.102	KY.Chr13.344
KH.C13.103	KY.Chr13.261
KH.C13.104	KY.Chr13.321
KH.C13.105	KY.Chr13.303
KH.C13.106	KY.Chr13.75
KH.C13.107	KY.Chr13.254
KH.C13.108	KY.Chr13.233
KH.C13.109	KY.Chr13.78
KH.C13.10	KY.Chr13.342
KH.C1.310	KY.Chr1.666
KH.C13.110	KY.Chr13.407
KH.C13.111	KY.Chr13.339
KH.C13.112	KY.Chr13.386
KH.C13.113	KY.Chr13.312
KH.C13.114	KY.Chr13.243
KH.C13.115	KY.Chr13.277
KH.C13.116	KY.Chr13.398
KH.C13.117	KY.Chr13.406
KH.C13.118	KY.Chr13.263
KH.C13.119	KY.Chr13.373
KH.C1.311	KY.Chr1.2348
KH.C13.11	KY.Chr13.297
KH.C13.120	KY.Chr13.393
KH.C13.121	KY.Chr13.342
KH.C13.122	KY.Chr13.237
KH.C13.123	KY.Chr13.258
KH.C13.124	KY.Chr13.386
KH.C13.125	KY.Chr13.421
KH.C13.126	KY.Chr13.375
KH.C13.127	KY.Chr13.249
KH.C13.128	KY.Chr13.317
KH.C13.129	KY.Chr13.382
KH.C1.312	KY.Chr1.2413
KH.C13.12	KY.Chr13.240
KH.C13.130	KY.Chr13.79
KH.C13.131	KY.Chr13.290
KH.C13.132	KY.Chr13.269
KH.C13.133	KY.Chr13.345
KH.C13.134	KY.Chr13.355
KH.C13.135	KY.Chr13.359
KH.C13.136	KY.Chr13.379
KH.C13.137	KY.Chr13.405
KH.C13.138	KY.Chr13.318
KH.C13.139	KY.Chr13.314
KH.C1.313	KY.Chr1.1012
KH.C13.13	KY.Chr13.280
KH.C13.140	KY.Chr13.337
KH.C13.141	KY.Chr13.405
KH.C13.142	KY.Chr13.329
KH.C13.143	KY.Chr13.401
KH.C13.144	KY.Chr13.409
KH.C13.145	KY.Chr13.238
KH.C13.146	KY.Chr13.80
KH.C13.147	KY.Chr13.345
KH.C13.148	KY.Chr13.418
KH.C13.149	KY.Chr13.77
KH.C1.314	KY.Chr1.1896
KH.C13.14	KY.Chr13.392
KH.C13.150	KY.Chr13.276
KH.C13.151	KY.Chr13.376
KH.C13.152	KY.Chr13.332
KH.C13.153	KY.Chr13.419
KH.C13.154	KY.Chr13.315
KH.C13.155	KY.Chr13.372
KH.C13.156	KY.Chr13.421
KH.C13.157	KY.Chr13.234
KH.C13.158	KY.Chr13.243
KH.C13.159	KY.Chr13.299
KH.C1.315	KY.Chr1.1952
KH.C13.15	KY.Chr13.374
KH.C13.160	KY.Chr13.87
KH.C13.162	KY.Chr13.72
KH.C13.163	KY.Chr13.362
KH.C13.164	KY.Chr13.414
KH.C13.165	KY.Chr13.281
KH.C13.166	KY.Chr1.2587
KH.C13.167	KY.Chr13.68
KH.C13.168	KY.Chr13.316
KH.C13.169	KY.Chr13.256
KH.C1.316	KY.Chr1.1549
KH.C13.16	KY.Chr13.81
KH.C13.170	KY.Chr13.340
KH.C13.171	KY.Chr13.288
KH.C13.172	KY.Chr13.256
KH.C13.173	KY.Chr13.275
KH.C13.174	KY.Chr13.401
KH.C13.175	KY.Chr13.248
KH.C13.176	KY.Chr13.358
KH.C13.177	KY.Chr13.73
KH.C13.178	KY.Chr13.417
KH.C13.179	KY.Chr13.381
KH.C13.17	KY.Chr13.378
KH.C1.317	KY.Chr1.547
KH.C13.180	KY.Chr13.391
KH.C13.181	KY.Chr13.257
KH.C13.182	KY.Chr13.358
KH.C13.183	KY.Chr13.88
KH.C13.184	KY.Chr13.323
KH.C13.185	KY.Chr13.245
KH.C13.186	KY.Chr13.322
KH.C13.187	KY.Chr13.371
KH.C13.188	KY.Chr13.380
KH.C13.189	KY.Chr13.334
KH.C13.18	KY.Chr13.294
KH.C1.318	KY.Chr1.39
KH.C13.190	KY.Chr13.367
KH.C13.191	KY.Chr13.402
KH.C13.192	KY.Chr1.149
KH.C13.193	KY.Chr13.273
KH.C13.194	KY.Chr5.1020
KH.C13.195	KY.Chr13.388
KH.C13.196	KY.Chr13.384
KH.C13.197	KY.Chr13.340
KH.C13.198	KY.Chr13.239
KH.C13.199	KY.Chr13.76
KH.C1.319	KY.Chr1.1599
KH.C13.19	KY.Chr13.321
KH.C1.31	KY.Chr1.1642
KH.C13.1	KY.Chr13.296
KH.C13.20	KY.Chr13.325
KH.C1.320	KY.Chr3.1608
KH.C1.321	KY.Chr1.2115
KH.C13.22	KY.Chr13.409
KH.C1.322	KY.Chr3.1621
KH.C1.323	KY.Chr1.2293
KH.C13.23	KY.Chr13.331
KH.C13.24	KY.Chr13.293
KH.C1.324	KY.Chr1.872
KH.C1.325	KY.Chr1.1345
KH.C13.25	KY.Chr13.320
KH.C1.326	KY.Chr1.235
KH.C13.26	KY.Chr13.235
KH.C1.327	KY.Chr1.2375
KH.C13.27	KY.Chr13.287
KH.C1.328	KY.Chr1.1519
KH.C13.28	KY.Chr13.326
KH.C13.29	KY.Chr13.330
KH.C1.329	KY.Chr1.75
KH.C1.32	KY.Chr1.2196
KH.C13.2	KY.Chr13.399
KH.C1.330	KY.Chr1.1615
KH.C13.30	KY.Chr13.364
KH.C1.331	KY.Chr1.208
KH.C13.31	KY.Chr13.285
KH.C1.332	KY.Chr1.1932
KH.C13.32	KY.Chr13.327
KH.C1.333	KY.Chr1.1924
KH.C13.33	KY.Chr13.420
KH.C1.334	KY.Chr1.1383
KH.C13.34	KY.Chr13.300
KH.C1.335	KY.Chr1.22
KH.C13.35	KY.Chr13.279
KH.C1.336	KY.Chr1.1496
KH.C13.36	KY.Chr13.240
KH.C13.37	KY.Chr13.392
KH.C1.337	KY.Chr2.34
KH.C1.338	KY.Chr1.1905
KH.C13.38	KY.Chr13.292
KH.C1.339	KY.Chr1.1581
KH.C13.39	KY.Chr13.416
KH.C13.3	KY.Chr13.253
KH.C1.33	KY.Chr1.744
KH.C1.340	KY.Chr1.1385
KH.C13.40	KY.Chr13.370
KH.C1.341	KY.Chr1.1080
KH.C13.41	KY.Chr13.395
KH.C1.342	KY.Chr1.1554
KH.C13.42	KY.Chr13.298
KH.C1.343	KY.Chr1.2407
KH.C13.43	KY.Chr13.322
KH.C1.344	KY.Chr1.134
KH.C1.345	KY.Chr1.2289
KH.C13.45	KY.Chr13.354
KH.C1.346	KY.Chr1.2268
KH.C13.46	KY.Chr13.244
KH.C1.347	KY.Chr1.2071
KH.C13.47	KY.Chr13.422
KH.C1.348	KY.Chr1.1067
KH.C13.48	KY.Chr13.305
KH.C1.349	KY.Chr1.1886
KH.C13.49	KY.Chr13.377
KH.C1.34	KY.Chr1.1584
KH.C13.4	KY.Chr13.411
KH.C1.350	KY.Chr1.1690
KH.C13.50	KY.Chr13.365
KH.C1.351	KY.Chr1.2136
KH.C13.51	KY.Chr13.291
KH.C1.352	KY.Chr1.224
KH.C13.52	KY.Chr13.259
KH.C1.353	KY.Chr1.1533
KH.C13.53	KY.Chr13.232
KH.C13.54	KY.Chr13.250
KH.C1.354	KY.Chr3.1613
KH.C1.355	KY.Chr1.244
KH.C13.55	KY.Chr13.266
KH.C13.56	KY.Chr13.255
KH.C1.356	KY.Chr1.919
KH.C13.57	KY.Chr13.357
KH.C1.357	KY.Chr1.741
KH.C1.358	KY.Chr1.1390
KH.C1.359	KY.Chr1.227
KH.C13.59	KY.Chr13.89
KH.C1.35	KY.Chr1.1520
KH.C13.5	KY.Chr13.415
KH.C1.360	KY.Chr1.2307
KH.C13.60	KY.Chr13.353
KH.C1.361	KY.Chr1.2442
KH.C13.61	KY.Chr13.74
KH.C1.362	KY.Chr1.1579
KH.C13.62	KY.Chr13.85
KH.C1.363	KY.Chr1.1409
KH.C13.63	KY.Chr13.82
KH.C1.364	KY.Chr1.1651
KH.C13.64	KY.Chr13.289
KH.C1.365	KY.Chr1.1563
KH.C13.65	KY.Chr13.260
KH.C1.366	KY.Chr1.2369
KH.C13.66	KY.Chr13.308
KH.C1.367	KY.Chr1.1135
KH.C13.67	KY.Chr13.252
KH.C13.68	KY.Chr13.319
KH.C1.368	KY.Chr1.952
KH.C1.369	KY.Chr1.2399
KH.C13.69	KY.Chr13.366
KH.C1.36	KY.Chr1.2318
KH.C13.6	KY.Chr13.328
KH.C1.370	KY.Chr1.2169
KH.C13.70	KY.Chr13.337
KH.C1.371	KY.Chr1.1996
KH.C13.71	KY.Chr13.236
KH.C1.372	KY.Chr1.1500
KH.C13.72	KY.Chr13.312
KH.C13.73	KY.Chr13.413
KH.C1.373	KY.Chr1.995
KH.C1.374	KY.Chr1.1003
KH.C13.74	KY.Chr13.278
KH.C1.375	KY.Chr1.205
KH.C13.75	KY.Chr13.363
KH.C1.376	KY.Chr1.218
KH.C13.76	KY.Chr13.313
KH.C1.377	KY.Chr1.2297
KH.C13.77	KY.Chr13.286
KH.C1.378	KY.Chr1.2206
KH.C13.78	KY.Chr13.352
KH.C13.79	KY.Chr13.230
KH.C1.379	KY.Chr1.776
KH.C1.37	KY.Chr1.1523
KH.C13.7	KY.Chr13.396
KH.C1.380	KY.Chr1.1586
KH.C13.80	KY.Chr13.267
KH.C13.81	KY.Chr13.268
KH.C1.381	KY.Chr1.743
KH.C1.382	KY.Chr1.1042
KH.C13.82	KY.Chr13.404
KH.C1.383	KY.Chr1.236
KH.C13.83	KY.Chr13.282
KH.C1.384	KY.Chr1.2305
KH.C13.84	KY.Chr13.312
KH.C1.385	KY.Chr1.1648
KH.C13.85	KY.Chr13.412
KH.C1.386	KY.Chr1.1493
KH.C13.86	KY.Chr13.319
KH.C13.87	KY.Chr13.295
KH.C1.387	KY.Chr1.998
KH.C13.88	KY.Chr13.343
KH.C1.388	KY.Chr1.512
KH.C1.389	KY.Chr1.1128
KH.C13.89	KY.Chr13.383
KH.C1.38	KY.Chr1.2456
KH.C13.8	KY.Chr13.284
KH.C1.390	KY.Chr1.1501
KH.C13.90	KY.Chr13.368
KH.C1.391	KY.Chr1.1715
KH.C13.91	KY.Chr13.385
KH.C1.392	KY.Chr1.1060
KH.C13.92	KY.Chr13.335
KH.C1.393	KY.Chr1.1371
KH.C13.93	KY.Chr13.357
KH.C1.394	KY.Chr1.1995
KH.C13.94	KY.Chr13.356
KH.C1.395	KY.Chr1.2337
KH.C13.95	KY.Chr13.361
KH.C1.396	KY.Chr1.2213
KH.C13.96	KY.Chr13.338
KH.C1.397	KY.Chr1.1123
KH.C13.97	KY.Chr13.360
KH.C1.398	KY.Chr1.1508
KH.C13.98	KY.Chr13.376
KH.C13.99	KY.Chr13.369
KH.C1.399	KY.Chr1.665
KH.C1.39	KY.Chr1.1402
KH.C13.9	KY.Chr13.90
KH.C1.3	KY.Chr1.1538
KH.C1.400	KY.Chr1.865
KH.C1.401	KY.Chr1.2172
KH.C1.402	KY.Chr1.1339
KH.C1.403	KY.Chr1.166
KH.C1.404	KY.Chr1.238
KH.C1.405	KY.Chr1.242
KH.C1.406	KY.Chr1.1966
KH.C1.407	KY.Chr1.1629
KH.C1.408	KY.Chr1.1401
KH.C1.409	KY.Chr1.1569
KH.C1.40	KY.Chr1.2082
KH.C14.100	KY.Chr14.181
KH.C14.101	KY.Chr14.152
KH.C14.102	KY.Chr14.113
KH.C14.103	KY.Chr14.642
KH.C14.104	KY.Chr14.206
KH.C14.105	KY.Chr14.151
KH.C14.106	KY.Chr14.324
KH.C14.107	KY.Chr14.1008
KH.C14.108	KY.Chr14.479
KH.C14.109	KY.Chr14.983
KH.C1.410	KY.Chr1.1711
KH.C14.10	KY.Chr14.457
KH.C14.110	KY.Chr14.1105
KH.C14.111	KY.Chr14.1050
KH.C14.112	KY.Chr14.1069
KH.C14.113	KY.Chr14.365
KH.C14.114	KY.Chr14.923
KH.C14.115	KY.Chr14.556
KH.C14.116	KY.Chr14.963
KH.C14.117	KY.Chr14.102
KH.C14.118	KY.Chr14.276
KH.C14.119	KY.Chr14.180
KH.C14.11	KY.Chr14.83
KH.C1.411	KY.Chr1.609
KH.C14.120	KY.Chr14.390
KH.C14.121	KY.Chr14.516
KH.C14.122	KY.Chr14.183
KH.C14.123	KY.Chr14.495
KH.C14.124	KY.Chr14.1073
KH.C14.125	KY.Chr14.548
KH.C14.126	KY.Chr14.529
KH.C14.127	KY.Chr14.1072
KH.C14.128	KY.Chr14.391
KH.C14.129	KY.Chr14.1067
KH.C14.12	KY.Chr14.106
KH.C1.412	KY.Chr1.856
KH.C14.130	KY.Chr14.216
KH.C14.131	KY.Chr14.569
KH.C14.132	KY.Chr14.382
KH.C14.133	KY.Chr14.596
KH.C14.134	KY.Chr14.617
KH.C14.135	KY.Chr14.558
KH.C14.136	KY.Chr14.165
KH.C14.137	KY.Chr14.982
KH.C14.138	KY.Chr14.929
KH.C14.139	KY.Chr14.417
KH.C1.413	KY.Chr1.1659
KH.C14.13	KY.Chr14.89
KH.C14.140	KY.Chr14.1068
KH.C14.141	KY.Chr14.942
KH.C14.142	KY.Chr14.441
KH.C14.143	KY.Chr14.400
KH.C14.144	KY.Chr14.385
KH.C14.145	KY.Chr14.404
KH.C14.146	KY.Chr14.915
KH.C14.147	KY.Chr14.474
KH.C14.148	KY.Chr14.636
KH.C14.149	KY.Chr14.487
KH.C14.14	KY.Chr14.631
KH.C1.414	KY.Chr1.525
KH.C14.150	KY.Chr14.171
KH.C14.151	KY.Chr14.526
KH.C14.152	KY.Chr14.188
KH.C14.153	KY.Chr14.243
KH.C14.154	KY.Chr14.995
KH.C14.155	KY.Chr14.597
KH.C14.156	KY.Chr14.175
KH.C14.157	KY.Chr14.224
KH.C14.158	KY.Chr14.521
KH.C14.159	KY.Chr14.293
KH.C14.15	KY.Chr14.1103
KH.C1.415	KY.Chr1.887
KH.C14.160	KY.Chr14.210
KH.C14.162	KY.Chr14.1126
KH.C14.163	KY.Chr14.547
KH.C14.164	KY.Chr14.1042
KH.C14.165	KY.Chr14.141
KH.C14.166	KY.Chr14.578
KH.C14.167	KY.Chr14.586
KH.C14.168	KY.Chr14.249
KH.C14.169	KY.Chr14.575
KH.C1.416	KY.Chr1.2038
KH.C14.16	KY.Chr14.640
KH.C14.170	KY.Chr14.161
KH.C14.171	KY.Chr14.986
KH.C14.172	KY.Chr14.513
KH.C14.173	KY.Chr14.381
KH.C14.174	KY.Chr14.1096
KH.C14.175	KY.Chr14.71
KH.C14.176	KY.Chr14.294
KH.C14.177	KY.Chr14.1041
KH.C14.178	KY.Chr14.924
KH.C14.179	KY.Chr14.1077
KH.C1.417	KY.Chr1.1388
KH.C14.17	KY.Chr14.598
KH.C14.180	KY.Chr14.131
KH.C14.181	KY.Chr14.331
KH.C14.182	KY.Chr14.291
KH.C14.183	KY.Chr14.1125
KH.C14.184	KY.Chr14.551
KH.C14.185	KY.Chr14.406
KH.C14.186	KY.Chr14.375
KH.C14.187	KY.Chr14.319
KH.C14.188	KY.Chr14.247
KH.C14.189	KY.Chr14.435
KH.C1.418	KY.Chr1.1590
KH.C14.18	KY.Chr14.599
KH.C14.190	KY.Chr14.1078
KH.C14.191	KY.Chr14.595
KH.C14.192	KY.Chr14.1043
KH.C14.193	KY.Chr14.1013
KH.C14.194	KY.Chr3.486
KH.C14.196	KY.Chr14.1011
KH.C14.197	KY.Chr14.328
KH.C14.198	KY.Chr14.300
KH.C14.199	KY.Chr14.402
KH.C1.419	KY.Chr1.1946
KH.C1.41	KY.Chr1.1978
KH.C14.1	KY.Chr14.124
KH.C14.200	KY.Chr14.168
KH.C14.201	KY.Chr14.629
KH.C14.202	KY.Chr14.121
KH.C14.203	KY.Chr14.156
KH.C14.204	KY.Chr14.316
KH.C14.205	KY.Chr14.88
KH.C14.206	KY.Chr14.251
KH.C14.207	KY.Chr14.480
KH.C14.208	KY.Chr14.472
KH.C14.209	KY.Chr14.333
KH.C1.420	KY.Chr1.2102
KH.C14.20	KY.Chr14.196
KH.C14.210	KY.Chr14.202
KH.C14.211	KY.Chr14.411
KH.C14.212	KY.Chr14.90
KH.C14.213	KY.Chr14.585
KH.C14.214	KY.Chr14.613
KH.C14.215	KY.Chr14.361
KH.C14.216	KY.Chr14.466
KH.C14.217	KY.Chr14.129
KH.C14.218	KY.Chr14.154
KH.C14.219	KY.Chr14.1031
KH.C1.421	KY.Chr1.207
KH.C14.21	KY.Chr14.455
KH.C14.220	KY.Chr14.1007
KH.C14.221	KY.Chr14.938
KH.C14.222	KY.Chr14.166
KH.C14.223	KY.Chr14.972
KH.C14.224	KY.Chr14.462
KH.C14.225	KY.Chr14.86
KH.C14.226	KY.Chr14.1121
KH.C14.227	KY.Chr14.514
KH.C14.228	KY.Chr14.1101
KH.C14.229	KY.Chr14.616
KH.C1.422	KY.Chr1.2012
KH.C14.22	KY.Chr14.453
KH.C14.230	KY.Chr14.74
KH.C14.231	KY.Chr14.246
KH.C14.232	KY.Chr14.458
KH.C14.233	KY.Chr14.525
KH.C14.234	KY.Chr14.489
KH.C14.235	KY.Chr14.186
KH.C14.236	KY.Chr14.587
KH.C14.237	KY.Chr14.583
KH.C14.238	KY.Chr14.490
KH.C14.239	KY.Chr14.158
KH.C1.423	KY.Chr1.2083
KH.C14.23	KY.Chr14.414
KH.C14.240	KY.Chr14.107
KH.C14.241	KY.Chr14.533
KH.C14.242	KY.Chr14.321
KH.C14.243	KY.Chr14.542
KH.C14.244	KY.Chr14.1038
KH.C14.245	KY.Chr14.360
KH.C14.246	KY.Chr11.523
KH.C14.247	KY.Chr14.539
KH.C14.248	KY.Chr14.290
KH.C14.249	KY.Chr14.345
KH.C14.24	KY.Chr14.377
KH.C1.424	KY.Chr1.814
KH.C14.250	KY.Chr14.341
KH.C14.251	KY.Chr14.907
KH.C14.252	KY.Chr14.182
KH.C14.253	KY.Chr14.119
KH.C14.254	KY.Chr14.221
KH.C14.255	KY.Chr14.1103
KH.C14.256	KY.Chr14.348
KH.C14.257	KY.Chr14.944
KH.C14.259	KY.Chr14.473
KH.C14.25	KY.Chr14.317
KH.C1.425	KY.Chr1.925
KH.C14.260	KY.Chr14.940
KH.C14.261	KY.Chr14.1025
KH.C14.262	KY.Chr14.1086
KH.C14.263	KY.Chr14.572
KH.C14.264	KY.Chr14.931
KH.C14.265	KY.Chr14.211
KH.C14.266	KY.Chr14.415
KH.C14.267	KY.Chr14.215
KH.C14.268	KY.Chr14.550
KH.C14.269	KY.Chr14.177
KH.C14.26	KY.Chr14.322
KH.C1.426	KY.Chr1.792
KH.C14.270	KY.Chr14.469
KH.C14.271	KY.Chr14.237
KH.C14.272	KY.Chr14.632
KH.C14.273	KY.Chr14.985
KH.C14.274	KY.Chr14.143
KH.C14.275	KY.Chr14.1074
KH.C14.276	KY.Chr14.146
KH.C14.277	KY.Chr14.567
KH.C14.278	KY.Chr14.493
KH.C14.279	KY.Chr14.1000
KH.C1.427	KY.Chr1.1495
KH.C14.27	KY.Chr14.284
KH.C14.280	KY.Chr14.979
KH.C14.281	KY.Chr14.554
KH.C14.282	KY.Chr14.1003
KH.C14.283	KY.Chr14.126
KH.C14.284	KY.Chr14.875
KH.C14.285	KY.Chr14.563
KH.C14.286	KY.Chr14.927
KH.C14.287	KY.Chr14.610
KH.C14.288	KY.Chr14.127
KH.C14.289	KY.Chr14.1108
KH.C1.428	KY.Chr1.1646
KH.C14.28	KY.Chr14.185
KH.C14.290	KY.Chr14.300
KH.C14.291	KY.Chr14.644
KH.C14.292	KY.Chr14.144
KH.C14.293	KY.Chr14.958
KH.C14.294	KY.Chr14.923
KH.C14.295	KY.Chr14.638
KH.C14.296	KY.Chr14.437
KH.C14.297	KY.Chr14.1029
KH.C14.298	KY.Chr14.875
KH.C14.299	KY.Chr14.520
KH.C14.29	KY.Chr14.557
KH.C1.429	KY.Chr1.984
KH.C1.42	KY.Chr1.2427
KH.C14.2	KY.Chr14.111
KH.C14.300	KY.Chr14.344
KH.C14.301	KY.Chr14.1005
KH.C14.302	KY.Chr14.373
KH.C14.303	KY.Chr14.584
KH.C14.304	KY.Chr14.349
KH.C14.305	KY.Chr14.1098
KH.C14.306	KY.Chr14.407
KH.C14.307	KY.Chr14.1058
KH.C14.308	KY.Chr14.1063
KH.C14.309	KY.Chr14.72
KH.C14.30	KY.Chr14.364
KH.C1.430	KY.Chr1.599
KH.C14.310	KY.Chr14.240
KH.C14.311	KY.Chr14.245
KH.C14.312	KY.Chr14.130
KH.C14.313	KY.Chr14.1028
KH.C14.314	KY.Chr14.1074
KH.C14.315	KY.Chr14.552
KH.C14.316	KY.Chr14.362
KH.C14.317	KY.Chr14.527
KH.C14.318	KY.Chr14.971
KH.C14.319	KY.Chr14.546
KH.C1.431	KY.Chr1.1058
KH.C14.31	KY.Chr14.408
KH.C14.320	KY.Chr14.306
KH.C14.322	KY.Chr14.456
KH.C14.323	KY.Chr14.1071
KH.C14.324	KY.Chr14.610
KH.C14.325	KY.Chr14.611
KH.C14.326	KY.Chr14.1039
KH.C14.327	KY.Chr14.1106
KH.C14.328	KY.Chr14.386
KH.C14.329	KY.Chr14.522
KH.C1.432	KY.Chr1.2142
KH.C14.32	KY.Chr14.339
KH.C14.330	KY.Chr14.639
KH.C14.331	KY.Chr14.523
KH.C14.332	KY.Chr14.216
KH.C14.333	KY.Chr14.933
KH.C14.334	KY.Chr14.977
KH.C14.335	KY.Chr14.350
KH.C14.336	KY.Chr14.282
KH.C14.337	KY.Chr14.1022
KH.C14.338	KY.Chr14.1102
KH.C14.339	KY.Chr14.1032
KH.C1.433	KY.Chr1.1711
KH.C14.33	KY.Chr14.351
KH.C14.340	KY.Chr14.1065
KH.C14.342	KY.Chr14.326
KH.C14.343	KY.Chr14.189
KH.C14.344	KY.Chr14.173
KH.C14.345	KY.Chr14.532
KH.C14.346	KY.Chr14.396
KH.C14.347	KY.Chr14.174
KH.C14.348	KY.Chr14.1124
KH.C14.349	KY.Chr14.204
KH.C1.434	KY.Chr1.1115
KH.C14.34	KY.Chr14.1016
KH.C14.350	KY.Chr14.425
KH.C14.351	KY.Chr14.128
KH.C14.352	KY.Chr14.321
KH.C14.353	KY.Chr14.392
KH.C14.354	KY.Chr14.608
KH.C14.355	KY.Chr14.999
KH.C14.356	KY.Chr14.1025
KH.C14.357	KY.Chr14.1088
KH.C14.358	KY.Chr14.76
KH.C14.359	KY.Chr14.1091
KH.C1.435	KY.Chr1.2162
KH.C14.35	KY.Chr14.544
KH.C14.360	KY.Chr14.549
KH.C14.361	KY.Chr14.923
KH.C14.363	KY.Chr14.319
KH.C14.364	KY.Chr14.434
KH.C14.365	KY.Chr14.593
KH.C14.366	KY.Chr14.332
KH.C14.368	KY.Chr14.162
KH.C14.369	KY.Chr14.192
KH.C1.436	KY.Chr1.1983
KH.C14.36	KY.Chr14.1033
KH.C14.370	KY.Chr14.1040
KH.C14.371	KY.Chr14.225
KH.C14.372	KY.Chr14.203
KH.C14.373	KY.Chr14.1090
KH.C14.374	KY.Chr14.167
KH.C14.376	KY.Chr14.150
KH.C14.377	KY.Chr14.946
KH.C14.378	KY.Chr14.491
KH.C14.379	KY.Chr14.329
KH.C1.437	KY.Chr1.2030
KH.C14.37	KY.Chr14.222
KH.C14.380	KY.Chr14.392
KH.C14.381	KY.Chr14.287
KH.C14.382	KY.Chr14.354
KH.C14.383	KY.Chr14.281
KH.C14.384	KY.Chr14.564
KH.C14.386	KY.Chr14.191
KH.C14.387	KY.Chr14.1062
KH.C14.388	KY.Chr14.309
KH.C14.389	KY.Chr14.633
KH.C1.438	KY.Chr1.1923
KH.C14.38	KY.Chr14.511
KH.C14.390	KY.Chr14.85
KH.C14.391	KY.Chr14.939
KH.C14.392	KY.Chr14.440
KH.C14.393	KY.Chr14.571
KH.C14.394	KY.Chr14.460
KH.C14.395	KY.Chr14.314
KH.C14.396	KY.Chr14.120
KH.C14.397	KY.Chr14.401
KH.C14.398	KY.Chr14.399
KH.C14.399	KY.Chr14.227
KH.C1.439	KY.Chr1.1499
KH.C14.39	KY.Chr14.1002
KH.C1.43	KY.Chr1.2341
KH.C14.3	KY.Chr14.176
KH.C14.400	KY.Chr14.468
KH.C14.401	KY.Chr14.635
